T              Q(1)           Q(2)           Q(3)           Q(4)           Q(5)           Q(6)           Q(7)           Q(8)           Q(9)           Q(10)          
s              m3/s           m3/s           m3/s           m3/s           m3/s           m3/s           m3/s           m3/s           m3/s           m3/s           
-1             0              0              0              0              0              0              0              0              0              0              
0              0              0              0              0              0              0              0              0              0              0              
300            0              0              0              0              0              0              0              0              0              0              
600            0              0              0              0              0              0              0              0              0              0              
900            0              0              0              0              0              0              0              0              0              0              
1200           0              0              0              0              0              0              0              0              0              0              
1500           0              0              0              0              0              0              0              0              0              0              
1800           0              0              0              0              0              0              0              0              0              0              
2100           0              0              0              0              0              0              0              0              0              0              
2400           0.0003         0.0001         0.0001         0              0.0001         0.0003         0.0001         0              0.0001         0.0001         
2700           0.0185         0.0038         0.0042         0              0.0079         0.0165         0.0071         0              0.0084         0.0088         
3000           0.0319         0.0066         0.0072         0              0.0136         0.0284         0.0123         0              0.0145         0.0152         
3300           0.0854         0.0176         0.0193         0.0864         0.0364         0.0761         0.0328         0.0857         0.0389         0.0406         
3600           0.006          0.0012         0.0014         0.013          0.0026         0.0053         0.0023         0.0129         0.0027         0.0029         
3900           0.0004         0.0001         0.0001         0.0011         0.0002         0.0003         0.0001         0.0011         0.0002         0.0002         
4200           0              0              0              0.0001         0              0              0              0.0001         0              0              
4500           0              0              0              0              0              0              0              0              0              0              
4800           0              0              0              0              0              0              0              0              0              0              
5100           0              0              0              0              0              0              0              0              0              0              
5400           0              0              0              0              0              0              0              0              0              0              
5700           0              0              0              0              0              0              0              0              0              0              
6000           0              0              0              0              0              0              0              0              0              0              
6300           0              0              0              0              0              0              0              0              0              0              
6600           0              0              0              0              0              0              0              0              0              0              
6900           0              0              0              0              0              0              0              0              0              0              
7200           0              0              0              0              0              0              0              0              0              0              
